participant_ID,program_ID,program_providence,have_no_demo_data,have_pre_survey_data,have_post_survey_data,has_grade,race,gender,English,Mathematics,Science,STAR_BOY_Math_ScaledScore,STAR_MOY_Math_ScaledScore,STAR_EOY_Math_ScaledScore,standardized_bos,has_standardized_score,standardized_but_no_grade,grade_but_no_standardized,LEP,SP,DaysEnrolled14/15,English15/16,Math15/16,Science15/16,Standardized_Bos 15/16
4095,4,0,0,1,0,0,Black,M,2,1,0,NA,NA,NA,681,1,0,0,NA,NA,NA,NA,NA,NA,NA
4277,4,0,0,1,1,0,Hispanic,M,2,2,1,NA,NA,NA,720,1,0,0,NA,NA,NA,NA,NA,NA,NA
4279,4,0,0,1,1,0,Hispanic,F,2,2,1,NA,NA,NA,739,1,0,0,NA,NA,NA,NA,NA,NA,NA
4999,4,0,0,0,1,0,Hispanic,M,1,1,1,NA,NA,NA,701,1,0,0,NA,NA,NA,NA,NA,NA,NA
6131,6,1,0,1,1,0,White,M,2.5,3,3,681,738,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6133,6,1,0,1,1,0,White,F,2,1,2,611,615,590,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6134,6,1,0,1,1,0,Hispanic,M,1,0,2,698,738,671,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6135,6,1,0,1,1,0,Hispanic,F,3,4,4,821,823,868,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6136,6,1,0,1,0,0,Asian,F,4,4,2,805,766,885,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6137,6,1,0,1,1,1,Hispanic,M,NA,0.5,0,776,696,840,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6138,6,1,0,1,0,0,Black,M,2,3,1,597,681,671,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6139,6,1,0,0,0,0,Black,M,2,3,1,557,609,409,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6140,6,1,0,1,1,1,Hispanic,M,NA,0,0,849,873,819,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6141,6,1,0,1,1,0,Black,F,1,1.5,3,659,727,741,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6142,6,1,0,1,0,0,Multiracial,M,2,2.5,2,725,805,848,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6143,6,1,0,1,1,0,Hispanic,F,1,2,2,823,789,677,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6145,6,1,0,0,1,0,Multiracial,F,3,4,2,853,848,848,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6146,6,1,0,1,0,0,White,F,3,2,3,652,672,742,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6148,6,1,0,1,1,0,Hispanic,F,3,2,2,801,802,861,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6149,6,1,0,1,1,0,Hispanic,F,1,2.5,1,572,595,666,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6151,6,1,0,1,1,0,Hispanic,F,4,4,4,813,759,838,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6153,6,1,0,0,1,0,White,F,3,4,1,774,756,794,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6155,6,1,0,1,1,0,Black,F,3.5,3,2,778,755,817,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6158,6,1,0,1,1,0,Black,F,4,2,3,828,841,863,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6159,6,1,0,1,1,0,White,F,2,2,3,663,702,686,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
6199,6,1,0,0,0,0,Black,F,3,3,4,801,736,854,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
7160,7,1,0,1,1,0,Black,F,2,3.5,4,758,676,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
7161,7,1,0,1,1,0,Hispanic,M,1,2,1,765,765,698,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
7162,7,1,0,0,1,0,Hispanic,M,2,0,1,674,744,799,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
7163,7,1,0,1,1,1,White,M,2,2,NA,674,619,635,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
7166,7,1,0,1,0,1,Multiracial,M,NA,0,NA,NA,693,729,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
7167,7,1,0,1,1,1,Black,F,2,NA,2,665,671,713,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
7171,7,1,0,1,0,1,Hispanic,F,2,1,NA,618,628,599,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
7173,7,1,0,1,1,0,Hispanic,F,2,1,3,665,NA,734,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
7181,7,1,0,0,0,0,Asian,M,2,2.5,1,708,693,736,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
7182,7,1,0,1,1,0,Hispanic,M,2,2,3,612,658,665,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
7183,7,1,0,1,0,0,Hispanic,F,3,3,3,750,828,818,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
8188,8,1,0,1,1,0,Hispanic,F,1,2,2,773,816,842,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA
